Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
December-2013,380.00,407.00,342.50,361.40,10903426,226950,4003881208.00,64.50,1617287,14.83,-18.60,
January-2014,363.00,372.00,315.90,324.05,11326936,221938,3914598908.00,56.10,1747200,15.43,-38.95,
February-2014,322.20,328.60,304.55,308.05,8447812,175451,2673749541.00,24.05,1530526,18.12,-14.15,
March-2014,308.50,352.95,305.10,346.00,11905603,241479,3937036326.00,47.85,1856919,15.60,37.50,
April-2014,347.90,388.55,335.00,355.15,13720154,361659,5004647699.00,53.55,1921871,14.01,7.25,
May-2014,358.90,588.00,335.40,526.35,27468793,787102,12303739166.00,252.60,4936328,17.97,167.45,
June-2014,531.70,668.40,530.35,656.40,25017125,815170,15517316704.00,138.05,2547277,10.18,124.70,
July-2014,661.00,668.00,548.05,584.30,18526437,690704,11181515587.00,119.95,1856426,10.02,-76.70,
August-2014,576.00,596.80,527.00,528.85,10417565,394451,5887199643.00,69.80,1400807,13.45,-47.15,
September-2014,532.90,563.75,450.70,455.15,11127353,362209,5767072459.00,113.05,1715368,15.42,-77.75,
October-2014,457.30,480.65,431.20,474.90,8580849,280869,3889287901.00,49.45,1218956,14.21,17.60,
November-2014,479.20,536.50,458.65,524.35,14668770,475772,7317201501.00,77.85,2368655,16.15,45.15,
December-2014,525.00,550.00,459.55,494.50,16865381,594900,8592820958.00,90.45,2106344,12.49,-30.50,
January-2015,494.00,509.25,447.30,485.85,12148522,442507,5760693932.00,61.95,2127964,17.52,-8.15,
February-2015,487.40,496.15,427.00,457.15,10524169,375491,4841485516.00,69.15,1294377,12.30,-30.25,
March-2015,461.10,515.00,414.50,424.55,14287872,465494,6592324767.00,100.50,2957046,20.70,-36.55,
April-2015,427.60,464.50,399.30,403.90,7882816,269495,3406116744.00,65.20,1193249,15.14,-23.70,
May-2015,407.00,424.70,379.60,395.15,7927790,185526,3157674368.00,45.10,1200745,15.15,-11.85,
June-2015,405.00,407.00,335.50,362.15,11198334,191198,4043613544.00,71.50,2436460,21.76,-42.85,
July-2015,362.00,399.45,351.85,389.90,9677709,175615,3635503860.00,47.60,1585177,16.38,27.90,
August-2015,386.50,405.90,250.80,314.80,13833532,225021,4625940163.00,155.10,2238136,16.18,-71.70,
September-2015,308.15,377.90,301.60,375.60,12118595,231834,4086831730.00,76.30,2103422,17.36,67.45,
October-2015,379.00,428.00,369.60,421.25,8581367,172290,3443325572.00,58.40,1055254,12.30,42.25,
November-2015,418.10,441.10,389.90,437.55,6892372,144134,2860961519.00,51.20,841790,12.21,19.45,
December-2015,441.00,447.70,384.75,437.65,8735224,179545,3635557190.00,62.95,1045727,11.97,-3.35,
January-2016,436.95,470.80,339.55,384.20,17623577,339838,7166288429.00,131.25,1802866,10.23,-52.75,
February-2016,385.20,387.00,303.60,321.50,12373941,242215,4168972168.00,83.40,1358697,10.98,-63.70,
March-2016,321.60,383.80,320.60,368.15,11445629,230738,4175639986.00,63.20,1189550,10.39,46.55,
April-2016,367.00,411.40,361.00,403.85,10036571,215404,3898091694.00,50.40,1216458,12.12,36.85,
May-2016,404.00,421.70,377.10,410.90,10046866,204094,4023256010.00,44.60,1225130,12.19,6.90,
June-2016,411.00,420.35,365.40,400.05,8962993,174957,3565893787.00,54.95,1248737,13.93,-10.95,
