Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
Sep-16,573,617.7,562.05,580.25,4158380,78802,2446721701,1417903,34.1,55.65,7.25
Oct-16,582.45,604,566.1,577.35,2777052,59023,1627562983,610488,21.98,37.9,-5.1
Nov-16,578,579.2,487.35,566.55,2813426,64394,1555750899,912416,32.43,91.85,-11.45
Dec-16,574.6,588.9,548.3,568.2,2074836,50245,1181935058,431895,20.82,40.6,-6.4
Jan-17,569.1,595,562.65,574.25,1501254,41402,869309525,449874,29.97,32.35,5.15
Feb-17,574.8,621.9,566.55,583.2,2369979,52747,1408601353,579148,24.44,55.35,8.4
Mar-17,586.7,607.85,575,592.3,3451522,37877,2050123517,911636,26.41,32.85,5.6
Apr-17,595,600.55,545.75,556.8,5727087,27813,3330279646,4533452,79.16,54.8,-38.2
May-17,556.8,571.65,479,514.6,5761839,48849,3062905025,2539619,44.08,92.65,-42.2
Jun-17,515,558,513.7,554.35,3098422,35382,1676425837,1735683,56.02,44.3,39.35
Jul-17,560,580.8,536.1,558.65,2781000,51806,1535534887,1530986,55.05,44.7,-1.35
Aug-17,560.75,594.05,526.3,571.7,2295874,47232,1297104234,460321,20.05,67.75,10.95
Sep-17,575,598.8,543.9,584.95,2019622,40624,1153754081,497609,24.64,54.9,9.95
Oct-17,586,633.95,576.9,625.7,1926318,30472,1167804472,497253,25.81,57.05,39.7
Nov-17,629.95,663,589.85,600.35,4081200,50376,2526305232,1567051,38.4,73.15,-29.6
Dec-17,601,623.8,572.3,607.15,1605315,25162,961290967,404287,25.18,51.5,6.15
Jan-18,606,630.6,587.1,587.45,3644999,29522,2201282627,2521446,69.18,43.5,-18.55
Feb-18,588.25,634,554.6,589.35,4043911,41599,2395619992,1799676,44.5,79.4,1.1
Mar-18,592,594.9,523,543.25,3341924,36419,1862541616,1497529,44.81,71.9,-48.75
Apr-18,545,608.4,545,606.65,3159949,38534,1827040522,1720880,54.46,63.4,61.65
May-18,609,621.65,508.1,524.5,4278239,43318,2354687245,2374994,55.51,113.55,-84.5
Jun-18,531.95,622.1,517.8,614.95,6616329,55416,3684342095,3807940,57.55,104.3,83
Jul-18,619.4,649.25,603,639.75,3184143,42102,1999998823,1018990,32,46.25,20.35
Aug-18,641,650.75,627.3,628.7,1532676,11082,981070137,824382,53.79,23.45,-12.3
